country,language,count,percentage,total_tweets
Australia,en,333,98.81305637982196,337
Australia,da,1,0.2967359050445104,337
Australia,et,1,0.2967359050445104,337
Australia,sk,1,0.2967359050445104,337
Australia,af,1,0.2967359050445104,337
Bangladesh,en,44,80.0,55
Bangladesh,fr,4,7.2727272727272725,55
Bangladesh,es,2,3.6363636363636362,55
Bangladesh,id,2,3.6363636363636362,55
Bangladesh,pt,1,1.8181818181818181,55
Bangladesh,it,1,1.8181818181818181,55
Bangladesh,sv,1,1.8181818181818181,55
Brazil,pt,227,76.1744966442953,298
Brazil,en,49,16.44295302013423,298
Brazil,es,7,2.348993288590604,298
Brazil,id,4,1.342281879194631,298
Brazil,ca,4,1.342281879194631,298
Brazil,de,3,1.006711409395973,298
Brazil,af,1,0.33557046979865773,298
Brazil,tl,1,0.33557046979865773,298
Brazil,no,1,0.33557046979865773,298
Brazil,it,1,0.33557046979865773,298
Canada,en,329,63.63636363636363,517
Canada,fr,173,33.46228239845261,517
Canada,ca,6,1.160541586073501,517
Canada,es,3,0.5802707930367506,517
Canada,so,3,0.5802707930367506,517
Canada,it,1,0.19342359767891684,517
Canada,cy,1,0.19342359767891684,517
Canada,af,1,0.19342359767891684,517
Costa Rica,es,90,60.810810810810814,148
Costa Rica,en,45,30.405405405405407,148
Costa Rica,pt,5,3.3783783783783785,148
Costa Rica,ca,3,2.027027027027027,148
Costa Rica,it,3,2.027027027027027,148
Costa Rica,fr,1,0.6756756756756757,148
Costa Rica,sl,1,0.6756756756756757,148
Guatemala,es,109,81.95488721804512,133
Guatemala,en,17,12.781954887218044,133
Guatemala,it,3,2.2556390977443606,133
Guatemala,so,1,0.7518796992481203,133
Guatemala,pt,1,0.7518796992481203,133
Guatemala,et,1,0.7518796992481203,133
Guatemala,ca,1,0.7518796992481203,133
Italy,it,384,87.27272727272727,440
Italy,en,36,8.181818181818182,440
Italy,es,14,3.1818181818181817,440
Italy,pt,3,0.6818181818181818,440
Italy,ca,2,0.45454545454545453,440
Italy,de,1,0.22727272727272727,440
Philipinnes,en,86,84.31372549019608,102
Philipinnes,tl,10,9.803921568627452,102
Philipinnes,fr,2,1.9607843137254901,102
Philipinnes,ro,2,1.9607843137254901,102
Philipinnes,so,1,0.9803921568627451,102
Philipinnes,af,1,0.9803921568627451,102
Phillipines,en,655,66.70061099796334,982
Phillipines,tl,282,28.716904276985744,982
Phillipines,id,10,1.0183299389002036,982
Phillipines,cy,10,1.0183299389002036,982
Phillipines,es,4,0.40733197556008144,982
Phillipines,sw,3,0.30549898167006106,982
Phillipines,da,2,0.20366598778004072,982
Phillipines,fi,2,0.20366598778004072,982
Phillipines,so,2,0.20366598778004072,982
Phillipines,nl,2,0.20366598778004072,982
Russia,en,272,88.88888888888889,306
Russia,id,8,2.6143790849673203,306
Russia,es,5,1.6339869281045754,306
Russia,no,4,1.3071895424836601,306
Russia,ca,3,0.9803921568627451,306
Russia,af,3,0.9803921568627451,306
Russia,nl,2,0.6535947712418301,306
Russia,et,2,0.6535947712418301,306
Russia,da,1,0.32679738562091504,306
Russia,it,1,0.32679738562091504,306
Singapore,en,297,95.4983922829582,311
Singapore,et,3,0.964630225080386,311
Singapore,id,3,0.964630225080386,311
Singapore,so,2,0.6430868167202572,311
Singapore,hr,1,0.3215434083601286,311
Singapore,it,1,0.3215434083601286,311
Singapore,pl,1,0.3215434083601286,311
Singapore,tr,1,0.3215434083601286,311
Singapore,vi,1,0.3215434083601286,311
Singapore,da,1,0.3215434083601286,311
Spain,es,81,59.55882352941176,136
Spain,en,54,39.705882352941174,136
Spain,ca,1,0.7352941176470588,136
UK,en,242,100.0,242
US,en,1270,97.6923076923077,1300
US,es,6,0.46153846153846156,1300
US,fr,3,0.23076923076923078,1300
US,de,3,0.23076923076923078,1300
US,da,3,0.23076923076923078,1300
US,pt,3,0.23076923076923078,1300
US,it,2,0.15384615384615385,1300
US,nl,2,0.15384615384615385,1300
US,tl,1,0.07692307692307693,1300
US,no,1,0.07692307692307693,1300
Venezuela,es,256,94.81481481481482,270
Venezuela,en,9,3.3333333333333335,270
Venezuela,it,2,0.7407407407407408,270
Venezuela,pt,1,0.3703703703703704,270
Venezuela,af,1,0.3703703703703704,270
Venezuela,id,1,0.3703703703703704,270
