Worker ID,Batch ID,Batch Status,Tweet ID,Tweet Text,I-Involvement-1,I-Involvement-2,I-Involvement-3,You-Involvement-1,You-Involvement-2,You-Involvement-3,We-Involvement-1,We-Involvement-2,We-Involvement-3,I-Involvement Comment,You-Involvement Comment,We-Involvement Comment,Timestamp,Progress,Completion Status,study_phase,PID
ANONYMOUS005,15,completed,212581637702168580,Woke up to the smell of smoke in Denver this morning. Thoughts are with those affected by #HighParkFire,5,6,7,3,7,2,6,6,2,It moves from a personal experience of smelling smoke to a broader social issue.,"They are concerned about those affected by the wildfire, but they do not seem to be thinking about any specific personal relationships.","Their concern about the wildfire is expressed, but it does not appear to call for collective solidarity.",2025-12-10T03:19:14.463Z,25/25,completed,Pilot_2,
ANONYMOUS017,15,completed,212581637702168580,Woke up to the smell of smoke in Denver this morning. Thoughts are with those affected by #HighParkFire,5,5,5,4,5,4,3,4,4,The post shows genuine concern for the community and raises awareness of the fire’s impact.,"The writer connects personal experience with a broader social issue, making the message more relatable.",The tone is empathetic and supportive toward those affected by the High Park Fire.,2025-11-18T03:35:34.321Z,25/25,completed,Pilot_2,
ANONYMOUS037,15,completed,212581637702168580,Woke up to the smell of smoke in Denver this morning. Thoughts are with those affected by #HighParkFire,2,2,5,1,1,5,3,5,5,"Woke up to the smell, so a minimal own experience","Thinks about others, probably not any related people.","Thoughts go out to those affected, not sure if there is real concern",2025-12-02T02:13:12.348Z,25/25,completed,Pilot_2,
ANONYMOUS016,23,completed,213103874708471800,Airstrip in Colorado Springs.,1,1,1,1,2,2,3,4,3,"This comment doesn’t show I-involvement since it doesn’t include the speaker’s feelings, opinions, or personal connection.",The comment lacks you-involvement because it doesn’t speak to you or create any personal connection.,"A bit of we-involvement appears since it mentions a place that can be part of our shared surroundings or knowledge.

3.",2025-11-19T05:03:05.536Z,25/25,completed,Pilot_2,
ANONYMOUS030,23,completed,213103874708471800,Airstrip in Colorado Springs.,1,1,1,1,1,1,1,1,1,"The tweet doen't express any kind of concern, so any kind of involvement","The tweet doen't express any kind of concern, either for I, You or We",I believe there is no concern expressed in the tweet,2025-11-22T11:33:30.738Z,25/25,completed,Pilot_2,
ANONYMOUS016,23,completed,214949230027096060,"RT @dbouwman: Pretty smoke free day Fort Collins, but the smoke is settling in now... closing windows! #highparkfire",5,6,6,1,1,1,1,1,1,The speaker will get affected by the smoke and therefore talks about closing his windows.,He just seems to care for his own safety.,same as the answer on the previous question,2025-11-21T07:15:08.983Z,25/25,completed,Pilot_2,
ANONYMOUS030,23,completed,214949230027096060,"RT @dbouwman: Pretty smoke free day Fort Collins, but the smoke is settling in now... closing windows! #highparkfire",6,6,7,6,6,6,2,2,2,the window detail show a direct experience regarding the situation,"the writer mention ""@dbouwman"" showing interest/care by giving advice on how to stay safe","there is no we-involvement, but the tweet can still reach the ""we"" through the hashtag",2025-11-22T11:56:13.939Z,25/25,completed,Pilot_2,
ANONYMOUS038,25,completed,217772252467441660,Holy shit now there's a fire in Boulder?,1,1,1,1,1,1,2,2,1,"The speaker is expressing concern through making the tweet a question; however, there is no indication that there is any consequence for the speaker themselves. The form of the question itself indicates the user is not in Colorado, as they would have already been aware of the situation.","The tweet itself appears to be surprise and question, not quite exactly concern. If there is added nuance of other tragedies happening at the same time, one could infer there is concern in the question.","The tweet is a question, where concern could be inferred but is not expressed directly. The collective consequences come from the usage of Colorado being casual.",2025-12-06T08:37:10.081Z,25/25,completed,Pilot_2,
ANONYMOUS039,25,completed,217772252467441660,Holy shit now there's a fire in Boulder?,5,5,5,1,1,1,1,1,1,Doesnt show how hes affected but shows the speaker has a strong reaction to the information,Seems just like a personal expression of opinion,Doesn't mention anything about a collective or community,2025-11-19T08:14:39.619Z,25/25,completed,Pilot_2,
ANONYMOUS039,25,completed,217772252467441660,Holy shit now there's a fire in Boulder?,5,5,5,1,1,1,1,1,1,Doesnt show how hes affected but shows the speaker has a strong reaction to the informatikon,Seems just like a personal expression of opinion,Doesn't mention anything about a collective or community,2025-11-19T08:13:09.766Z,25/25,completed,Pilot_2,
