PID,Worker ID,Batch ID,Batch Status,Tweet ID,Tweet Text,I-Involvement-1,I-Involvement-2,I-Involvement-3,You-Involvement-1,You-Involvement-2,You-Involvement-3,We-Involvement-1,We-Involvement-2,We-Involvement-3,I-Involvement Comment,You-Involvement Comment,We-Involvement Comment,Timestamp,Progress,Completion Status
PID001,ANONYMOUS088,1,completed,348180856180965400,RT @Earls16thAve: Sending our love to Earls Tin Palace! Stay safe friends! #yycflood #earlstinpalace #repost http://t.co/8MPeImDlq2,1,1,1,6,6,7,5,5,6,"The tweet does not reference the speaker’s own experience or personal impact from the floods, focusing instead on expressing support to others.","By sending love and wishing friends safety, the tweet clearly conveys emotional support and concern for people the speaker cares about.",The use of the #yycflood hashtag and reference to a local business reflects community solidarity and shared concern during a collective crisis.,2025-12-20T10:48:21.139Z,50/50,completed
PID001,ANONYMOUS088,1,completed,400572855387029500,RT @StefanAlino: why does it seem as if foreign governments are helping typhoon Haiyan victims more than our own?,2,2,2,3,3,2,7,7,6,"The speaker does not describe their own personal experience or direct impact, but the wording suggests mild personal concern rather than explicit self-involvement.","The tweet does not reference specific family members, friends, or close relationships, focusing instead on broader aid and responsibility issues.","By contrasting foreign governments with “our own,” the tweet strongly emphasizes national responsibility, collective action, and concern for affected communities.",2025-12-20T10:50:24.501Z,50/50,completed
PID001,ANONYMOUS088,1,completed,296103450800967700,Good to be home #homesweethome #qldfloods http://t.co/qJF4wy7C,6,6,7,2,2,1,4,3,3,The statement “Good to be home” directly reflects the speaker’s personal experience and implies they were affected or displaced by the floods.,"The tweet does not mention family, friends, or close relationships, focusing solely on the speaker’s own return home.  The focus of the tweet is on offering reassurance and care to individuals impacted, indicating relational involvement.","The tweet does not mention family, friends, or close relationships, focusing solely on the speaker’s own return home.  Through its broader framing, the tweet highlights communal concern rather than isolated personal effects.",2025-12-20T10:55:52.912Z,50/50,completed
PID001,ANONYMOUS088,1,completed,370747331588538400,"We need a lot more dried goods for donation packs! We can do this, Dragons! #unitas #reliefph",2,2,1,4,4,5,7,7,7,"The tweet does not describe the speaker’s own situation or personal impact, instead focusing on organizing aid rather than self-related consequences.","Addressing “Dragons” suggests a social group the speaker feels connected to, reflecting encouragement and concern directed toward people they identify with.",The call for donations and use of collective language emphasize joint action and shared responsibility in responding to the disaster.,2025-12-20T10:57:58.650Z,50/50,completed
PID001,ANONYMOUS088,1,completed,295683991011463200,It's sad to see the flooding in Queensland. Let's hope the rain stops soon.,1,1,1,3,3,2,6,6,5,"The speaker does not reference their own circumstances or any direct personal effect, expressing general sympathy rather than self-related involvement.",The tweet conveys concern for people affected by the flooding but does not mention specific relationships or close personal connections.,"By referencing flooding across Queensland and expressing hope for improved conditions, the tweet reflects awareness of a broader community impact.",2025-12-20T11:04:46.102Z,50/50,completed
PID001,ANONYMOUS088,1,completed,370747331588538400,"We need a lot more dried goods for donation packs! We can do this, Dragons! #unitas #reliefph",2,2,1,4,4,5,7,7,7,"The tweet does not describe the speaker’s own situation or personal impact, instead focusing on organizing aid rather than self-related consequences.","Addressing “Dragons” suggests a social group the speaker feels connected to, reflecting encouragement and concern directed toward people they identify with.",The call for donations and use of collective language emphasize joint action and shared responsibility in responding to the disaster.,2025-12-20T11:04:51.270Z,50/50,completed
PID001,ANONYMOUS088,1,completed,296103450800967700,Good to be home #homesweethome #qldfloods http://t.co/qJF4wy7C,6,6,7,2,2,1,4,3,3,The statement “Good to be home” directly reflects the speaker’s personal experience and implies they were affected or displaced by the floods.,"The tweet does not mention family, friends, or close relationships, focusing solely on the speaker’s own return home.  The focus of the tweet is on offering reassurance and care to individuals impacted, indicating relational involvement.","The tweet does not mention family, friends, or close relationships, focusing solely on the speaker’s own return home.  Through its broader framing, the tweet highlights communal concern rather than isolated personal effects.",2025-12-20T11:04:56.629Z,50/50,completed
PID001,ANONYMOUS088,1,completed,400572855387029500,RT @StefanAlino: why does it seem as if foreign governments are helping typhoon Haiyan victims more than our own?,2,2,2,3,3,2,7,7,6,"The speaker does not describe their own personal experience or direct impact, but the wording suggests mild personal concern rather than explicit self-involvement.","The tweet does not reference specific family members, friends, or close relationships, focusing instead on broader aid and responsibility issues.","By contrasting foreign governments with “our own,” the tweet strongly emphasizes national responsibility, collective action, and concern for affected communities.",2025-12-20T11:05:02.277Z,50/50,completed
PID001,ANONYMOUS088,1,completed,348180856180965400,RT @Earls16thAve: Sending our love to Earls Tin Palace! Stay safe friends! #yycflood #earlstinpalace #repost http://t.co/8MPeImDlq2,1,1,1,6,6,7,5,5,6,"The tweet does not reference the speaker’s own experience or personal impact from the floods, focusing instead on expressing support to others.","By sending love and wishing friends safety, the tweet clearly conveys emotional support and concern for people the speaker cares about.",The use of the #yycflood hashtag and reference to a local business reflects community solidarity and shared concern during a collective crisis.,2025-12-20T11:05:11.351Z,50/50,completed
PID001,ANONYMOUS088,1,completed,400572855387029500,RT @StefanAlino: why does it seem as if foreign governments are helping typhoon Haiyan victims more than our own?,2,2,2,3,3,2,7,7,6,"The speaker does not describe their own personal experience or direct impact, but the wording suggests mild personal concern rather than explicit self-involvement.","The tweet does not reference specific family members, friends, or close relationships, focusing instead on broader aid and responsibility issues.","By contrasting foreign governments with “our own,” the tweet strongly emphasizes national responsibility, collective action, and concern for affected communities.",2025-12-20T11:05:18.671Z,50/50,completed
PID001,ANONYMOUS088,1,completed,296103450800967700,Good to be home #homesweethome #qldfloods http://t.co/qJF4wy7C,6,6,7,2,2,1,4,3,3,The statement “Good to be home” directly reflects the speaker’s personal experience and implies they were affected or displaced by the floods.,"The tweet does not mention family, friends, or close relationships, focusing solely on the speaker’s own return home.  The focus of the tweet is on offering reassurance and care to individuals impacted, indicating relational involvement.","The tweet does not mention family, friends, or close relationships, focusing solely on the speaker’s own return home.  Through its broader framing, the tweet highlights communal concern rather than isolated personal effects.",2025-12-20T11:05:26.596Z,50/50,completed
PID001,ANONYMOUS088,1,completed,370747331588538400,"We need a lot more dried goods for donation packs! We can do this, Dragons! #unitas #reliefph",2,2,1,4,4,5,7,7,7,"The tweet does not describe the speaker’s own situation or personal impact, instead focusing on organizing aid rather than self-related consequences.","Addressing “Dragons” suggests a social group the speaker feels connected to, reflecting encouragement and concern directed toward people they identify with.",The call for donations and use of collective language emphasize joint action and shared responsibility in responding to the disaster.,2025-12-20T11:05:38.723Z,50/50,completed
PID001,ANONYMOUS088,1,completed,295683991011463200,It's sad to see the flooding in Queensland. Let's hope the rain stops soon.,1,1,1,3,3,2,6,6,5,"The speaker does not reference their own circumstances or any direct personal effect, expressing general sympathy rather than self-related involvement.",The tweet conveys concern for people affected by the flooding but does not mention specific relationships or close personal connections.,"By referencing flooding across Queensland and expressing hope for improved conditions, the tweet reflects awareness of a broader community impact.",2025-12-20T11:06:00.500Z,50/50,completed
PID001,ANONYMOUS088,1,completed,390746523858141200,RT @PaulTatnell: Some terrific journalism tonight from the Sydney fires. Thoughts with all defending and reporting #bushfires,1,1,1,5,5,6,6,6,5,"The tweet does not mention the speaker’s own experience or any personal effect, instead commenting on events observed from a distance.","By stating that their thoughts are with those defending and reporting the fires, the speaker shows concern and appreciation for specific people involved.",The tweet acknowledges the broader public situation by referencing ongoing fires and the collective effort of emergency responders and journalists.,2025-12-20T11:08:20.012Z,50/50,completed
PID001,ANONYMOUS088,1,completed,295821396423098400,RT @NSWRFS: @QPSmedia We've been doing it tough with fires lately but our thoughts are with you all tonight. #bigwet,2,3,3,6,6,7,7,7,7,"The speaker briefly references their own difficult situation with fires, but this is secondary to expressing support for others facing flooding.","The message directly addresses another group and offers empathy, reflecting interpersonal support and concern for those currently affected.","By linking two emergency services and acknowledging shared hardship, the tweet highlights institutional solidarity and collective resilience during widespread disasters.",2025-12-20T11:09:56.575Z,50/50,completed
PID001,ANONYMOUS088,1,completed,406587038532915200,Helicopter Crash in Glasgow might brighten the place up a bit,1,1,1,1,1,1,2,2,1,The tweet does not indicate any personal experience or impact; it is an observation rather than a reflection of self-related consequences.,"There is no mention of family, friends, or other close relations; the tweet is detached from interpersonal concern.","The tweet references Glasgow generally, but its sarcastic tone minimizes actual concern for community impact or collective well-being.",2025-12-20T11:11:12.703Z,50/50,completed
PID001,ANONYMOUS088,1,completed,390115838935584800,RT @AngNasaBabaNito: Let's just pray for the victims of earthquake. God is always with us! #PrayForVisayas Cebu and Bohol.,1,1,1,2,2,3,6,6,5,The speaker does not describe any personal impact or experience from the earthquake; the message is focused on general concern for the victims.,"The tweet shows some relational concern by invoking prayers and moral support, which could be interpreted as care for people the speaker identifies with, but no specific close relationships are mentioned.","The message addresses the wider Visayas region, calling for collective prayer and solidarity, reflecting a shared sense of concern for the affected communities.",2025-12-20T11:12:27.383Z,50/50,completed
PID001,ANONYMOUS088,1,completed,390115838935584800,RT @AngNasaBabaNito: Let's just pray for the victims of earthquake. God is always with us! #PrayForVisayas Cebu and Bohol.,1,1,1,2,2,3,6,6,5,The speaker does not describe any personal impact or experience from the earthquake; the message is focused on general concern for the victims.,"The tweet shows some relational concern by invoking prayers and moral support, which could be interpreted as care for people the speaker identifies with, but no specific close relationships are mentioned.","The message addresses the wider Visayas region, calling for collective prayer and solidarity, reflecting a shared sense of concern for the affected communities.",2025-12-20T11:14:14.332Z,50/50,completed
PID001,ANONYMOUS088,1,completed,406587038532915200,Helicopter Crash in Glasgow might brighten the place up a bit,1,1,1,1,1,1,2,2,1,The tweet does not indicate any personal experience or impact; it is an observation rather than a reflection of self-related consequences.,"There is no mention of family, friends, or other close relations; the tweet is detached from interpersonal concern.","The tweet references Glasgow generally, but its sarcastic tone minimizes actual concern for community impact or collective well-being.",2025-12-20T11:14:53.349Z,50/50,completed
