Worker ID,Batch ID,Batch Status,Tweet ID,Tweet Text,I-Involvement-1,I-Involvement-2,I-Involvement-3,You-Involvement-1,You-Involvement-2,You-Involvement-3,We-Involvement-1,We-Involvement-2,We-Involvement-3,I-Involvement Comment,You-Involvement Comment,We-Involvement Comment,Timestamp,Progress,Completion Status
ANONYMOUS001,1,completed,218419551019339780,My thoughts &amp; prayers are with the flood victims in Florida &amp; the south &amp; Colorado victims of the horrible fires! Extremely sad situations!,7,6,5,7,5,6,5,2,5,I just want to go to home,So strict comment standard. Isn't it?,This is just simulation.,2025-11-02T14:50:53.182Z,25/25,completed
ANONYMOUS001,1,completed,218419551019339780,My thoughts &amp; prayers are with the flood victims in Florida &amp; the south &amp; Colorado victims of the horrible fires! Extremely sad situations!,7,6,5,7,5,6,5,2,5,I just want to go to home,So strict comment standard. Isn't it?,This is just simulation.,2025-11-02T14:57:17.375Z,25/25,completed
ANONYMOUS001,1,completed,379120898835349500,Everybody Keep @DJWhizlam &amp;The Residents Of Colorado In Your Prayers! The Weather There Is Crazy &amp; It has Me VERY Concerned! #ColoradoFlood,7,7,7,6,6,6,7,7,7,Hi my name is somin park,I WANT TO GO TO BED.,Why does this kind of limitation exist?,2025-11-02T16:01:25.397Z,25/25,completed
ANONYMOUS024,2,completed,217830637195894800,RT @boulderpolice: 11 agencies helping fight #FlagstaffFire. Thank you!,3,4,3,3,3,4,5,6,6,"Other than ""Thank you"", nothing indicates possible involvement of the author.",Same reasoning as with the Individual involvement recognition -- basically no personal information is shared.,"The tweeter is obviously invested in the fighting of the Flagstaff fire, besides the other Colorado wildfires, which is to the benefit to the public.",2025-11-17T09:53:26.961Z,25/25,completed
ANONYMOUS024,2,completed,323918749499551740,"Lord, our world really needs your help...😔 #prayforboston",2,3,4,3,3,4,7,5,6,"The tweeter is expressing grief about the bombing, but not anything in terms of personal involvement.","Same as with Individual involvement, the tweet contains no mention of those around the tweeter.","The tweeter is wishing for God's help for ""our world"", and presumably all those affected by the tragedy.",2025-11-17T09:57:15.265Z,25/25,completed
ANONYMOUS024,2,completed,217860051833077760,#waldocanyonfire #waldofire sending as much positive thoughts as I can to C Springs. Love that land!,4,5,5,5,4,5,4,4,5,"The tweeter shows that they have some sort of emotional connection to Colorado Springs from their past. Maybe it was their vacation spot, former hometown, or something else of the sort.","The tweeter expresses an emotional connection for the location of Colorado Springs, so it's reasonable that they might know people from there, or at least care about its residents' wellbeing.","Other than sending their thoughts and prayers via tweet, the tweeter doesn't mention much in the way of community or a collective.",2025-11-17T10:02:38.488Z,25/25,completed
ANONYMOUS024,2,completed,323953646125608960,RT @CoachKWisdom: All prayers go to victims and families of the people affected by the tragedy. #prayforboston,3,4,3,7,4,6,3,4,5,The tweet is clearly focused on those affected by the tragedy rather than the self.,"The tweet is clear in sending thoughts and prayers to those affected by the tragedy, although its formality suggests to me that the tweeter/retweeter does not have a personal connection to the tragedy or those affected.","Other than showing care(?) for those affected by the tragedy, the tweet does not markedly emphasize the collective.",2025-11-17T10:05:08.672Z,25/25,completed
ANONYMOUS024,2,completed,323885803266797600,RT @BigBootyProbs: #PrayForBoston http://t.co/rVpnX46oSE,2,2,2,2,2,3,2,2,2,"The tweet is very impersonal, with just a hashtag and a Twitter link.","The hashtag is in support for Boston and victims of the tragedy, but the tweet is quite impersonal otherwise.","Same as above -- the hashtag is for the collective people of Boston and the victims of the tragedy, but the tweet is so impersonal it doesn't really seem to be recognizing much.",2025-11-17T10:07:54.839Z,25/25,completed
ANONYMOUS024,2,completed,219493108319133700,"Thanks for the RTs @mayread3 Maria, appreciate your support. Needs ongoing. #HighParkFire #smday http://t.co/xeicWhRw",3,3,4,3,4,6,5,5,6,"From this tweet, I can assume that the tweeter is gathering support for the fire (likely through donations, if so), and that the retweeter is helping to spread the word.","The tweeter is showing concern for those in the High Park Fire, as well as thanking a Twitter user for their support.","Both the tweeter and ""Maria"" are presumably working in some way to support those involved in the High Park Fire or other wildfires that happened at this time.",2025-11-17T17:08:12.560Z,25/25,completed
ANONYMOUS024,2,completed,324175336059314200,RT @dpshow: Dan's Opening Monologue on Boston Tragedy http://t.co/EeaGt06ULa,1,1,1,1,1,1,2,1,1,This is simply a retweet of a link to someone's show.,This is simply a retweet of a link to a talk show.,"It could be said that by retweeting this link, they are trying to spread awareness about the tragedy. Or one person's take on it at least.",2025-11-17T17:09:57.430Z,25/25,completed
ANONYMOUS024,2,completed,378178619048087550,RT @RGIII: Please pray my family in Colorado and all others impacted by the #boulderflood,3,6,5,7,6,6,4,3,3,"The original tweeter is showing concern for their family and/or friends residing in Colorado during this time. 

On this note, I'm wondering if I'm supposed to be answering about the retweeter, not the original poster, and if that's a part of the survey.","The tweet, while short, is showing concern for loved ones in the area of a disaster.",I guess praying for one's family/friends is what you do when you're part of a collective.,2025-11-17T17:14:16.814Z,25/25,completed
ANONYMOUS024,2,completed,324739566407913500,“@nickels_sarah: My heart is beating so fast...#prayfortexas #texasexplosion  https://t.co/VqizbMlXrw” wow,4,6,3,2,2,3,3,4,2,The tweeter's heart is beating so fast.,The tweet doesn't really indicate any close relations.,"""Pray for Texas"" indicates the tweeter is likely a Texan and/or American.",2025-11-17T17:16:46.019Z,25/25,completed
