Tweet ID,Tweet Text,Information Source,Information Type,Informativeness,source_dataset
348180856180965377,RT @Earls16thAve: Sending our love to Earls Tin Palace! Stay safe friends! #yycflood #earlstinpalace #repost http://t.co/8MPeImDlq2,Outsiders,Sympathy and support,Related - but not informative,2013_Alberta_floods
400572855387029504,RT @StefanAlino: why does it seem as if foreign governments are helping typhoon Haiyan victims more than our own?,Outsiders,Donations and volunteering,Related - but not informative,2013_Typhoon_Yolanda
296103450800967680,Good to be home #homesweethome #qldfloods http://t.co/qJF4wy7C,Eyewitness,Affected individuals,Related - but not informative,2013_Queensland_floods
370747331588538368,"We need a lot more dried goods for donation packs! We can do this, Dragons! #unitas #reliefph",NGOs,Donations and volunteering,Related - but not informative,2013_Manila_floods
295683991011463168,It's sad to see the flooding in Queensland. Let's hope the rain stops soon.,Outsiders,Sympathy and support,Related - but not informative,2013_Queensland_floods
390746523858141185,RT @PaulTatnell: Some terrific journalism tonight from the Sydney fires. Thoughts with all defending and reporting #bushfires,Outsiders,Sympathy and support,Related - but not informative,2013_Australia_bushfire
295821396423098368,RT @NSWRFS: @QPSmedia We've been doing it tough with fires lately but our thoughts are with you all tonight. #bigwet,Government,Sympathy and support,Related - but not informative,2013_Queensland_floods
406587038532915200,Helicopter Crash in Glasgow might brighten the place up a bit,Outsiders,Other Useful Information,Related - but not informative,2013_Glasgow_helicopter_crash
390115838935584768,RT @AngNasaBabaNito: Let's just pray for the victims of earthquake. God is always with us! #PrayForVisayas Cebu and Bohol.,Outsiders,Sympathy and support,Related - but not informative,2013_Bohol_earthquake
348442278790045696,RT @GongshowGear: Thoughts and Prayers with all our friends in Calgary as they weather record floods - stay strong #alberta,Outsiders,Sympathy and support,Related - but not informative,2013_Alberta_floods
302302112027652096,RT @OrderInTheQuart: Luke 21:11 Great signs from heaven----&gt;http://t.co/Vy7yybxs #meteor,Media,Other Useful Information,Related - but not informative,2013_Russia_meteor
