tweet_id,tweet_text,source_dataset,k_shots,I-Involvement_Q1,I-Involvement_Q2,I-Involvement_Q3,I-Involvement_avg,I-Involvement_comment,You-Involvement_Q1,You-Involvement_Q2,You-Involvement_Q3,You-Involvement_avg,You-Involvement_comment,We-Involvement_Q1,We-Involvement_Q2,We-Involvement_Q3,We-Involvement_avg,We-Involvement_comment,timestamp
323939918176985089,"I close my eyes &amp; I can see a better day, I close my eyes &amp; pray❤ #prayforboston I don't want to live here anymore http://t.co/3yYtrUVRkv",unknown,0,6,7,6,6.333333333333333,"The tweet strongly expresses concern about the impact of the situation on the speaker's well-being and desire to live in Boston, indicating personal consequences and emphasizing their individual experience.",3,2,4,3.0,"The tweet expresses a desire for a better future, which could be interpreted as concern for the speaker's own well-being and potentially those close to them. It hints at consequences ('don't want to live here anymore') but doesn't explicitly state them in relation to loved ones. The use of 'pray' and the hashtag suggest a desire for collective support and care.",5,6,3,4.666666666666667,"The tweet expresses concern for Boston (#prayforboston) indicating a focus on the community. It also uses 'I don't want to live here anymore' which implies a collective impact on the city. While it mentions prayer, it doesn't explicitly emphasize shared responsibility or solidarity.",2025-12-29T09:25:20.197633
323895492088037376,"I can't deal with the world anymore, people are just so fucked up and sick, I'll be praying for the Boston marathon victims &amp; their families",unknown,0,6,7,5,6.0,"The tweet expresses strong personal distress and links the Boston Marathon tragedy to a feeling of being overwhelmed by the state of the world, indicating significant personal consequences and emphasizing the speaker's emotional experience.",3,6,5,4.666666666666667,"The tweet expresses concern for the victims and their families, indicating a care for those affected. It also emphasizes the impact on them, suggesting consequences for people the speaker cares about. While not explicitly stating personal ties, the language implies a sense of shared humanity and concern for others.",3,5,2,3.3333333333333335,"The tweet expresses concern for the victims and their families, indicating an awareness of the impact on a community (Boston). It also mentions 'people' generally, hinting at collective consequences. However, it lacks a strong emphasis on shared responsibility or solidarity.",2025-12-29T09:25:38.964338
217855316463857667,My poor baby Colorado Springs. My hearts out to my hometown. &lt;3 The United States is so dry that fires ar        (cont) http://t.co/iKojMidS,unknown,0,6,6,5,5.666666666666667,The tweet clearly expresses concern for the speaker's hometown (Colorado Springs) and uses personal language like 'my baby' and 'my heart goes out'. It emphasizes the personal connection the speaker has to the location and the tragedy.,6,5,4,5.0,"The tweet clearly expresses concern for Colorado Springs, referred to as 'my hometown,' indicating a personal connection. It also suggests potential consequences for the speaker's loved ones due to the fires. While the tweet emphasizes empathy and care, it doesn't explicitly mention specific relational ties or support networks.",6,7,5,6.0,"The tweet clearly expresses concern for Colorado Springs as a community ('my hometown'), uses collective terms like 'United States' and 'my hearts out', and implies a shared responsibility to care for the affected area.",2025-12-29T09:25:58.102026
323922654413324288,2day was supposed to be an amazing day to celebrate the release of chloe instead we are bringing out the #teaminspire in us #PrayforBoston&lt;3,unknown,0,5,6,6,5.666666666666667,"The tweet expresses disappointment about a personal plan being disrupted by the Boston crisis, indicating personal consequences and emphasizing the speaker's individual experience.",6,5,7,6.0,"The tweet strongly suggests concern for someone named Chloe, implying a close relationship. It also hints at consequences for Chloe due to the situation in Boston, and emphasizes the importance of support and unity (#teaminspire) in the face of adversity.",6,7,6,6.333333333333333,The tweet clearly expresses concern for Boston (impacting the community) and uses collective terms like 'us' and 'we' emphasizing shared responsibility and solidarity in the face of the unspecified crisis.,2025-12-29T09:26:14.722515
324856960795176960,@ESPN_Greeny heard the audio from Boston on my way to work this am &amp; saw flags waving. Teary-eyed by the end! #prayforboston #mike&amp;mike,unknown,0,6,6,5,5.666666666666667,"The tweet clearly expresses emotional concern for Boston and its people, indicating a personal connection to the event. The speaker's emotional response ('teary-eyed') and use of #prayforboston further emphasize the personal impact.",5,6,4,5.0,"The tweet expresses concern for the Boston community, which the speaker likely sees as part of their larger social network. It also implies personal emotional impact, suggesting a connection to the event. While it doesn't explicitly mention specific family or friends, the emotional language suggests a sense of shared experience and care.",6,7,5,6.0,"The tweet expresses clear concern for Boston and uses hashtags like #prayforboston indicating a focus on the community's well-being. It also emphasizes a shared experience and sentiment with 'heard the audio' and 'flags waving', suggesting collective impact. While not explicitly stating shared responsibility, the call for prayer implies a collective desire for healing.",2025-12-29T09:26:36.007553
323933584777940992,Just heard from my friend in Boston. She was running &amp; 3 miles from the explosion but ok. I'm shaking from the relief but also the tragedy.,unknown,0,6,7,5,6.0,"The tweet clearly expresses concern for the speaker's friend and the personal impact of the event, as evidenced by the shaking from relief and tragedy. The focus is on the speaker's emotional response and connection to the situation.",6,7,5,6.0,"The tweet clearly expresses concern for a close friend ('my friend'), states direct consequences for them ('3 miles from the explosion'), and emphasizes the speaker's emotional connection through relief and shared tragedy.",5,6,4,5.0,"The tweet expresses concern for a friend in Boston, indicating a community impact. It also uses 'we' in 'I'm shaking from the relief,' implying a shared feeling. While solidarity isn't explicitly stated, the focus on collective relief suggests a sense of shared responsibility.",2025-12-29T09:26:54.636601
218564439077699584,Colorado Springs; may God show u blessings in this tragic time. Alberta lost much of a town last year to fire &amp; our hearts go out to u all.,unknown,0,3,2,1,2.0,"The tweet expresses empathy and concern for Colorado Springs but doesn't explicitly state personal impact or experience. The mention of Alberta's fire is a relatable anecdote, but the focus remains on offering support to the affected community.",5,6,6,5.666666666666667,"The tweet expresses empathy and concern for the people of Colorado Springs, drawing a parallel to a similar tragedy in Alberta. It highlights the shared experience of loss and offers support, emphasizing relational ties.",6,7,5,6.0,The tweet expresses clear concern for the community of Colorado Springs and acknowledges the shared experience of loss through the reference to Alberta's fire. It emphasizes solidarity and collective well-being by offering condolences and prayers.,2025-12-29T09:27:12.027315
324760869290536960,"No words. West, Texas fertilizer explosion. Prayers to all those effected. Video shows explosion. absolutely insane-&gt; http://t.co/xschuCXNdD",unknown,0,3,2,1,2.0,"The tweet expresses concern for those affected but doesn't explicitly state personal impact. While 'No words' implies personal shock, it's not directly tied to the speaker's experience.  The focus remains on the broader tragedy.",5,4,3,4.0,"The tweet expresses concern for those affected by the explosion, indicating a care for others. While it doesn't explicitly mention personal connections, the use of 'prayers' suggests a desire for well-being for those impacted. The emphasis on relational ties is moderate, primarily through the expression of concern and prayer.",5,6,3,4.666666666666667,"The tweet expresses concern for those affected, uses 'all those effected' indicating a broader community impact, but doesn't explicitly emphasize shared responsibility or collective well-being.",2025-12-29T09:27:30.894393
326329958404325376,"Obama's not scheduled to visit the devastated community of West, Texas. Fund raiseing &amp; Planned Parenthood are more important to him. #tcot",unknown,0,6,7,5,6.0,"The tweet strongly implies the speaker feels personally let down by Obama's absence, suggesting a sense of betrayal or disappointment. It also directly states that the speaker believes the issue is less important to Obama than other priorities, highlighting a personal conflict.",1,1,1,1.0,"This tweet focuses on political criticism rather than personal connection to the disaster. There's no mention of family, friends, or personal consequences related to the tragedy.",1,2,1,1.3333333333333333,"The tweet focuses on criticizing Obama's actions and priorities rather than expressing concern for the community affected by the disaster. While it mentions 'devastated community,' it does so in the context of a political attack.",2025-12-29T09:27:48.168027
396392841381179392,All these #democrats running around raping &amp; killing people #LAXShooting they hang out with #Muslims believe the islamic jihadist ideology,unknown,0,1,7,7,5.0,"The tweet focuses on blaming a specific political group and religion for the shooting, highlighting a perceived personal threat and danger to the speaker's worldview.",1,1,1,1.0,The tweet focuses on broad political generalizations and accusations rather than expressing personal concern for individuals or relationships impacted by the shooting.,1,1,1,1.0,"This tweet promotes harmful stereotypes and division rather than expressing concern for a community or shared responsibility. It blames a specific political group and religion for violence, fostering animosity rather than unity.",2025-12-29T09:28:05.223959
