tweet_id,tweet_text,source_dataset,k_shots,I-Involvement_Q1,I-Involvement_Q2,I-Involvement_Q3,I-Involvement_avg,I-Involvement_comment,You-Involvement_Q1,You-Involvement_Q2,You-Involvement_Q3,You-Involvement_avg,You-Involvement_comment,We-Involvement_Q1,We-Involvement_Q2,We-Involvement_Q3,We-Involvement_avg,We-Involvement_comment,timestamp
323939918176985100,"I close my eyes &amp; I can see a better day, I close my eyes &amp; pray❤ #prayforboston I don't want to live here anymore http://t.co/3yYtrUVRkv",unknown,4,6,7,6,6.333333333333333,"The tweet expresses a strong personal connection to the tragedy, stating a desire to leave the location. It also emphasizes the speaker's personal feelings of hope and prayer.",5,3,4,4.0,"The tweet expresses a personal desire for a better day and uses the hashtag #prayforboston, indicating concern for the situation. While it mentions not wanting to live there anymore, it doesn't explicitly state consequences for loved ones.",5,4,3,4.0,The tweet expresses concern for Boston but the added statement about wanting to leave suggests a more individualistic sentiment rather than strong collective involvement.,2025-12-22T20:34:21.327994
323895492088037400,"I can't deal with the world anymore, people are just so fucked up and sick, I'll be praying for the Boston marathon victims &amp; their families",unknown,4,6,6,7,6.333333333333333,"The tweet strongly expresses the speaker's personal distress and feeling overwhelmed by the world's events, directly linking the Boston Marathon tragedy to their own emotional state.",6,6,5,5.666666666666667,"The tweet expresses strong concern for the victims and their families, explicitly mentioning prayers for them. The speaker's distress also suggests a personal impact, implying a connection to the tragedy.",5,4,3,4.0,"The tweet expresses concern for the victims and their families, but the focus is primarily on personal distress rather than collective impact or responsibility.",2025-12-22T20:34:31.281391
217855316463857660,My poor baby Colorado Springs. My hearts out to my hometown. &lt;3 The United States is so dry that fires ar        (cont) http://t.co/iKojMidS,unknown,4,7,7,7,7.0,"The tweet clearly expresses personal connection to Colorado Springs, using phrases like 'My poor baby' and 'my hometown' to demonstrate strong emotional involvement and personal impact.",7,7,7,7.0,"The tweet clearly expresses concern for the speaker's hometown, using emotionally charged language like 'poor baby' and 'my heart goes out'. It directly connects the speaker's identity to Colorado Springs, emphasizing a strong relational tie.",6,6,3,5.0,"The tweet clearly expresses concern for Colorado Springs as a community and uses terms like 'my hometown' and 'my poor baby' to emphasize this. It also mentions the United States, indicating a broader collective impact. While it expresses sympathy, it doesn't explicitly call for shared responsibility or solidarity.",2025-12-22T20:34:43.414637
323922654413324300,2day was supposed to be an amazing day to celebrate the release of chloe instead we are bringing out the #teaminspire in us #PrayforBoston&lt;3,unknown,4,6,5,6,5.666666666666667,"The tweet clearly expresses disappointment about a personal event being overshadowed by the tragedy, indicating personal consequences and emphasizing the speaker's individual experience.",6,5,6,5.666666666666667,"The tweet clearly expresses concern for someone named Chloe, implying a close relationship. It also emphasizes the need for support and inspiration, highlighting the importance of relational ties in this difficult situation.",5,6,6,5.666666666666667,The tweet expresses concern for Boston and uses collective terms like 'us' and 'we' to highlight shared responsibility and solidarity in the face of tragedy.,2025-12-22T20:34:53.341902
324856960795176960,@ESPN_Greeny heard the audio from Boston on my way to work this am &amp; saw flags waving. Teary-eyed by the end! #prayforboston #mike&amp;mike,unknown,4,5,6,6,5.666666666666667,"The tweet clearly expresses emotional impact ('teary-eyed') and personal experience ('heard the audio on my way to work'), indicating strong individual involvement.",5,3,4,4.0,"The tweet expresses emotional impact ('teary-eyed') which suggests concern for those affected, but doesn't explicitly mention personal ties. It emphasizes a shared emotional response to the event.",6,6,5,5.666666666666667,"The tweet clearly expresses concern for the Boston community, uses inclusive language like 'everyone' and 'we', and emphasizes shared emotions like tears, indicating a sense of collective impact and solidarity.",2025-12-22T20:35:03.873592
323933584777941000,Just heard from my friend in Boston. She was running &amp; 3 miles from the explosion but ok. I'm shaking from the relief but also the tragedy.,unknown,4,6,7,6,6.333333333333333,"The tweet explicitly states a personal connection to the event through a friend in Boston, and expresses strong emotional reactions (shaking from relief and tragedy), indicating high individual involvement.",7,7,6,6.666666666666667,"The tweet explicitly mentions a friend in Boston directly affected by the event, highlighting personal connection and concern.",6,5,4,5.0,"The tweet expresses concern for a friend in Boston and the broader tragedy, indicating a sense of shared experience and impact. While it doesn't explicitly mention collective responsibility, the emotional response suggests a connection to the event beyond the individual.",2025-12-22T20:35:14.113861
218564439077699600,Colorado Springs; may God show u blessings in this tragic time. Alberta lost much of a town last year to fire &amp; our hearts go out to u all.,unknown,4,5,4,3,4.0,The tweet expresses empathy and solidarity but doesn't explicitly state personal consequences or experiences with the fire.,6,5,6,5.666666666666667,"The tweet expresses empathy and solidarity with Colorado Springs, drawing a parallel to a similar experience in Alberta, highlighting a shared sense of community and care.",6,6,5,5.666666666666667,"The tweet expresses concern for Colorado Springs and directly compares it to a similar tragedy in Alberta, highlighting shared experience and empathy.",2025-12-22T20:35:23.055980
324760869290536960,"No words. West, Texas fertilizer explosion. Prayers to all those effected. Video shows explosion. absolutely insane-&gt; http://t.co/xschuCXNdD",unknown,4,3,3,2,2.6666666666666665,"The tweet expresses concern and offers prayers, suggesting some level of personal impact, but doesn't explicitly state personal consequences or focus heavily on individual experience.",5,4,5,4.666666666666667,The tweet expresses concern for those affected by the explosion with 'Prayers to all those effected.' It doesn't explicitly mention personal connections but the sentiment clearly conveys care for the victims.,7,7,6,6.666666666666667,"The tweet clearly expresses concern for those affected in West, Texas, uses the collective pronoun 'those,' and emphasizes shared feelings of shock and concern with 'No words' and 'prayers.'",2025-12-22T20:35:33.535461
326329958404325400,"Obama's not scheduled to visit the devastated community of West, Texas. Fund raiseing &amp; Planned Parenthood are more important to him. #tcot",unknown,4,6,5,6,5.666666666666667,"The tweet strongly implies the speaker feels personally let down by Obama's priorities, suggesting a sense of betrayal and highlighting the issue's personal impact.",3,2,1,2.0,"While the tweet mentions a devastated community, it focuses on political criticism rather than expressing personal concern for those affected. There's no direct mention of family, friends, or personal ties to the situation.",6,5,3,4.666666666666667,"The tweet expresses concern for the devastated community and uses terms like 'him' and 'us' implying a collective impact. However, it focuses more on individual blame than shared responsibility.",2025-12-22T20:35:44.086882
396392841381179400,All these #democrats running around raping &amp; killing people #LAXShooting they hang out with #Muslims believe the islamic jihadist ideology,unknown,4,6,6,6,6.0,"The tweet strongly suggests the speaker feels personally threatened and blames Democrats and Muslims for violence, indicating a high level of personal concern and perceived consequences.",1,1,1,1.0,"The tweet makes broad, inflammatory generalizations and does not express concern for any specific individuals or relationships impacted by the shooting.",1,2,1,1.3333333333333333,The tweet promotes harmful stereotypes and division rather than expressing concern for the community or emphasizing shared responsibility.,2025-12-22T20:35:54.627710
