tweet_id,tweet_text,source_dataset,k_shots,I-Involvement_Q1,I-Involvement_Q2,I-Involvement_Q3,I-Involvement_avg,I-Involvement_comment,You-Involvement_Q1,You-Involvement_Q2,You-Involvement_Q3,You-Involvement_avg,You-Involvement_comment,We-Involvement_Q1,We-Involvement_Q2,We-Involvement_Q3,We-Involvement_avg,We-Involvement_comment,timestamp
218419551019339780,My thoughts &amp; prayers are with the flood victims in Florida &amp; the south &amp; Colorado victims of the horrible fires! Extremely sad situations!,unknown,8,3,2,2,2.3333333333333335,The tweet expresses sadness about the situations but doesn't explicitly link them to personal consequences or experiences. It focuses more on general empathy.,3,2,2,2.3333333333333335,"While the tweet expresses sympathy, it lacks specific mention of personal connections to the victims. The language is general and focuses on the broad scale of the tragedies.",7,7,6,6.666666666666667,"The tweet expresses clear concern for multiple communities affected by different disasters, highlighting the collective impact of these tragedies. It emphasizes shared sorrow and support for all victims.",2025-12-23T00:36:39.299880
379120898835349500,Everybody Keep @DJWhizlam &amp;The Residents Of Colorado In Your Prayers! The Weather There Is Crazy &amp; It has Me VERY Concerned! #ColoradoFlood,unknown,8,3,5,3,3.6666666666666665,"The tweet expresses concern for others in Colorado but also highlights the speaker's own worry about the situation, indicating personal impact and concern.",5,4,6,5.0,"The tweet expresses concern for a specific individual (@DJWhizlam) and residents of Colorado, indicating a personal connection and care for those affected.",6,7,6,6.333333333333333,"The tweet explicitly calls for collective prayer for both a specific individual and the residents of Colorado, emphasizing shared concern and well-being.",2025-12-23T00:36:51.966568
323939918176985100,"I close my eyes &amp; I can see a better day, I close my eyes &amp; pray❤ #prayforboston I don't want to live here anymore http://t.co/3yYtrUVRkv",unknown,8,6,6,6,6.0,"The tweet explicitly states the speaker's desire to leave their current location, directly linking the Boston crisis to a personal desire for change.",3,3,4,3.3333333333333335,"The tweet expresses a personal desire for a better day and uses prayer, suggesting a connection to the situation, but doesn't explicitly mention family, friends, or direct consequences for loved ones. The emphasis on relational ties is moderate.",5,4,3,4.0,The tweet expresses concern for Boston but the call to pray and desire to leave suggests a personal rather than collective response to the crisis.,2025-12-23T00:37:05.698166
323895492088037400,"I can't deal with the world anymore, people are just so fucked up and sick, I'll be praying for the Boston marathon victims &amp; their families",unknown,8,6,6,5,5.666666666666667,"The tweet expresses strong personal distress and connects the Boston Marathon bombing to a broader sense of disillusionment with the world, indicating significant personal impact and emotional turmoil.",6,5,4,5.0,"The tweet expresses personal distress and connects it to the tragedy, indicating concern for the victims and their families. While the speaker doesn't explicitly mention personal connections, the language suggests a strong emotional response to the event.",4,5,3,4.0,"The tweet expresses concern for the victims and their families, indicating some collective impact. However, the primary focus is on the speaker's personal distress, making the collective aspect less pronounced.",2025-12-23T00:37:20.282320
217855316463857660,My poor baby Colorado Springs. My hearts out to my hometown. &lt;3 The United States is so dry that fires ar        (cont) http://t.co/iKojMidS,unknown,8,7,7,7,7.0,"The tweet clearly expresses personal connection to Colorado Springs, using phrases like 'My poor baby' and 'my hometown' to demonstrate strong emotional involvement and personal consequences.",7,7,7,7.0,"The tweet clearly expresses deep concern for the speaker's hometown, using emotionally charged language like 'poor baby' and 'my heart goes out.' It directly addresses the impact on a place the speaker cares about and emphasizes the relational tie of hometown.",6,6,4,5.333333333333333,"The tweet expresses clear concern for Colorado Springs as a hometown and uses \""my heart goes out\"" to emphasize empathy for the community. It also mentions the US dryness, implying a collective impact. While solidarity is present, it doesn't explicitly call for shared responsibility.",2025-12-23T00:37:36.478375
323922654413324300,2day was supposed to be an amazing day to celebrate the release of chloe instead we are bringing out the #teaminspire in us #PrayforBoston&lt;3,unknown,8,5,3,4,4.0,"The tweet expresses a personal disappointment about a ruined celebration, suggesting an impact on the speaker's day. While they connect with the Boston situation, the focus remains on their own experience.",6,3,5,4.666666666666667,"The tweet mentions a personal celebration that was disrupted by the tragedy, suggesting a connection to the event's impact. While not explicitly stated, the use of \""we\"" implies a shared experience with others, emphasizing relational ties.",5,6,6,5.666666666666667,"The tweet expresses concern for Boston while also highlighting a shift in focus towards collective support and inspiration, emphasizing shared resilience in the face of tragedy.",2025-12-23T00:37:50.955828
324856960795176960,@ESPN_Greeny heard the audio from Boston on my way to work this am &amp; saw flags waving. Teary-eyed by the end! #prayforboston #mike&amp;mike,unknown,8,4,5,5,4.666666666666667,The tweet expresses emotional impact ('teary-eyed') and connects the event to the speaker's personal experience ('heard the audio on my way to work').,5,3,4,4.0,"The tweet expresses personal emotional response ('teary-eyed') suggesting concern for the situation, but doesn't explicitly mention family, friends, or close ties being affected. It does, however, mention a shared experience with 'Mike & Mike', implying a sense of community and shared concern.",5,6,5,5.333333333333333,"The tweet expresses concern for the community impacted by the Boston event, uses inclusive language like 'we' and 'flags waving', and emphasizes shared emotions like tears, suggesting a sense of collective solidarity.",2025-12-23T00:38:06.902782
323933584777941000,Just heard from my friend in Boston. She was running &amp; 3 miles from the explosion but ok. I'm shaking from the relief but also the tragedy.,unknown,8,6,7,6,6.333333333333333,"The tweet clearly expresses personal concern for the speaker's friend and their own emotional response to the situation, indicating high individual involvement.",7,6,6,6.333333333333333,"The tweet explicitly mentions a friend in Boston directly affected by the explosion, highlighting personal connection and concern. It also expresses relief and sadness, emphasizing the emotional impact on the speaker due to the friend's experience.",5,4,5,4.666666666666667,"The tweet expresses concern for a friend in Boston and acknowledges the tragedy, indicating a sense of shared experience and concern for the community.",2025-12-23T00:38:20.302310
218564439077699600,Colorado Springs; may God show u blessings in this tragic time. Alberta lost much of a town last year to fire &amp; our hearts go out to u all.,unknown,8,4,5,4,4.333333333333333,The tweet expresses sympathy and solidarity but doesn't explicitly state personal consequences or direct experience with the Colorado Springs fire.,6,6,6,6.0,"The tweet directly expresses concern for Colorado Springs, drawing a parallel to a similar tragedy in Alberta, highlighting shared experience and empathy.",6,6,6,6.0,"The tweet expresses concern for Colorado Springs and directly compares it to Alberta's experience, highlighting shared vulnerability and empathy.",2025-12-23T00:38:32.244276
324760869290536960,"No words. West, Texas fertilizer explosion. Prayers to all those effected. Video shows explosion. absolutely insane-&gt; http://t.co/xschuCXNdD",unknown,8,3,3,3,3.0,"The tweet expresses concern and offers prayers, but doesn't explicitly state personal impact or experience with the event.",5,4,5,4.666666666666667,"The tweet expresses concern for those affected by the explosion and uses the phrase 'prayers to all those effected,' indicating a desire for their well-being. While not explicitly mentioning personal connections, the tone suggests a sense of shared humanity and care.",6,6,5,5.666666666666667,"The tweet expresses clear concern for those affected in West, Texas, uses the collective pronoun 'all those effected,' and includes a call for prayers, indicating a sense of shared responsibility and well-being.",2025-12-23T00:38:46.865348
326329958404325400,"Obama's not scheduled to visit the devastated community of West, Texas. Fund raiseing &amp; Planned Parenthood are more important to him. #tcot",unknown,8,6,5,6,5.666666666666667,"The tweet expresses strong disapproval of Obama's actions, implying a personal sense of betrayal or disappointment. It also suggests the speaker feels personally affected by the lack of attention to West, Texas.",2,1,1,1.3333333333333333,"The tweet focuses on political criticism rather than expressing personal concern for those affected by the disaster. There's no mention of family, friends, or direct consequences for anyone the speaker cares about.",3,4,2,3.0,"The tweet expresses concern for the community of West, Texas, but doesn't explicitly highlight collective consequences or shared responsibility. It focuses more on criticizing Obama's actions.",2025-12-23T00:39:01.479995
396392841381179400,All these #democrats running around raping &amp; killing people #LAXShooting they hang out with #Muslims believe the islamic jihadist ideology,unknown,8,6,6,6,6.0,"The tweet expresses strong personal convictions and assigns blame to a specific political group and religion, indicating a high level of personal involvement and potential consequences for the speaker's worldview.",6,6,6,6.0,"The tweet strongly implies the speaker believes Democrats are connected to violence and associates them with Muslims and Islamic ideology, suggesting a sense of threat and danger to their perceived in-group.",1,2,1,1.3333333333333333,The tweet promotes harmful stereotypes and division rather than expressing concern for the community or shared responsibility.,2025-12-23T00:39:20.763183
323985149551325200,So many people have had their hearts &amp; bodies broken at this event that should be a celebration of human endurance and will #prayforboston,unknown,8,4,5,4,4.333333333333333,The tweet expresses sadness and concern for the victims but doesn't explicitly state personal impact. It focuses more on the collective tragedy than individual experience.,5,4,6,5.0,"The tweet expresses concern for the victims' well-being, acknowledging the emotional and physical impact of the event. While not explicitly mentioning personal connections, the language evokes a sense of shared humanity and empathy.",6,7,6,6.333333333333333,"The tweet clearly expresses concern for the community impacted by the event, uses collective language like 'so many people' and 'this event', and emphasizes shared feelings of heartbreak and the desire for healing through prayer.",2025-12-23T00:39:35.337210
324763935343534100,My thoughts and prayers go out to my fellow brothers &amp; sisters affected from the plant explosion in west Texas. It's a tragic accident :'(,unknown,8,6,6,5,5.666666666666667,"The tweet explicitly expresses personal concern for those affected, using  'my fellow brothers & sisters' indicating a sense of shared community and personal connection to the tragedy.",6,6,6,6.0,"The tweet explicitly mentions 'my fellow brothers & sisters', clearly indicating a sense of community and shared connection to those affected.",7,6,6,6.333333333333333,"The tweet explicitly expresses concern for a shared group ('fellow brothers & sisters'), highlights the tragedy for the community, and emphasizes collective empathy and support.",2025-12-23T00:39:48.149185
215564110799183870,Re symbols on today's map: MT @LarimerSheriff: Only relevant to firefightng effort. Will b removd 4 tomorrow to reduce confusn #HighParkFire,unknown,8,1,1,1,1.0,"The tweet focuses on providing information about map symbols and their relevance to firefighting efforts, without expressing personal concern or impact.",1,1,1,1.0,The tweet focuses on logistical information about the fire map and doesn't express concern for individuals or relationships.,3,4,3,3.3333333333333335,The tweet focuses on logistical information for firefighters and doesn't explicitly express concern for the community or emphasize collective responsibility.,2025-12-23T00:39:59.895215
325425179956240400,"Touched by cheering for Boston PD, EMS, etc. Now is good time to remember all the First Responders -- volunteers -- who died in West, Texas.",unknown,8,3,2,2,2.3333333333333335,"The tweet expresses empathy and remembrance, but doesn't explicitly state personal impact or experience. It focuses more on a broader recognition of first responders' sacrifices.",2,3,4,3.0,The tweet expresses a general sentiment of support for first responders but doesn't explicitly mention personal connections to victims or those affected.,6,7,6,6.333333333333333,The tweet expresses concern for first responders and acknowledges the collective impact of disasters on various communities.,2025-12-23T00:40:12.027316
396413057917661200,"People from NJ and LA are always such calm, even-tempered folks that it's hard to imagine how this could happen. Let's all act shocked. #lax",unknown,8,2,3,3,2.6666666666666665,The tweet expresses surprise and disbelief but doesn't explicitly link the event to personal consequences or experiences. It focuses more on a generalized observation about the people from those locations.,1,1,1,1.0,The tweet focuses on a generalization about people from NJ and LA rather than expressing concern for individuals impacted by the event.,2,3,1,2.0,"The tweet focuses on a stereotype rather than expressing concern for the community directly. While it mentions LA, the focus is on disbelief rather than collective impact or responsibility.",2025-12-23T00:40:25.150858
327435014935564300,Sad on many levels @NBCNews: CONFIRMED: Brown University student falsely identified as Boston bombing suspect found dead in Providence River,unknown,8,3,2,3,2.6666666666666665,"The tweet expresses sadness about the situation, suggesting a personal emotional response. While not directly stating personal consequences, the mention of a 'Brown University student' implies a potential connection to the speaker's community. The focus on the false identification and death emphasizes the individual impact on the student.",5,6,4,5.0,"The tweet expresses sadness about the situation and the impact on a student, indicating concern for someone the speaker likely cares about. It also suggests a sense of injustice and potential consequences for the wrongly identified student.",6,4,3,4.333333333333333,"The tweet expresses sadness about the situation and its impact on a specific community (Brown University), indicating collective concern. It also mentions a confirmed event, suggesting broader societal consequences. However, it doesn't explicitly emphasize shared responsibility or solidarity.",2025-12-23T00:40:42.037025
407173473526886400,@bylandl I hear Metro North and derailment and I start (with no statistical justification) worrying about you. Hoping my worry is pointless.,unknown,8,6,6,6,6.0,"The tweet explicitly expresses concern for the individual (@bylandl) in relation to the derailment, highlighting personal worry and a desire for their safety.",7,6,6,6.333333333333333,"The tweet explicitly expresses concern for a named individual (@bylandl) potentially affected by the derailment, highlighting a direct personal connection and worry.",6,4,3,4.333333333333333,"The tweet expresses concern for a specific person potentially affected by the derailment, indicating a sense of shared connection and worry. While it mentions 'Metro North' and 'derailment,' it doesn't explicitly address collective consequences or responsibility.",2025-12-23T00:40:56.349062
378086243705184260,RT @Muffissness: RT @LouiseMase Can't believe a few hours ago it was just a bit of heavy rain.. Escalated ridiculously quickly #boulderflood,unknown,8,3,2,3,2.6666666666666665,The tweet expresses concern about the rapid escalation of the situation but doesn't explicitly state personal impact. It primarily relays information and observation rather than focusing on individual experience.,1,1,1,1.0,"The tweet focuses on the rapid escalation of the flood, not on personal connections or impacts on individuals.",4,4,3,3.6666666666666665,"The tweet expresses concern about the rapid escalation of the situation, which indirectly implies an impact on the community. However, it doesn't explicitly mention collective consequences or shared responsibility.",2025-12-23T00:41:09.385263
