tweet_id,tweet_text,source_dataset,k_shots,I-Involvement_Q1,I-Involvement_Q2,I-Involvement_Q3,I-Involvement_avg,I-Involvement_comment,You-Involvement_Q1,You-Involvement_Q2,You-Involvement_Q3,You-Involvement_avg,You-Involvement_comment,We-Involvement_Q1,We-Involvement_Q2,We-Involvement_Q3,We-Involvement_avg,We-Involvement_comment,timestamp
348180856180965377,RT @Earls16thAve: Sending our love to Earls Tin Palace! Stay safe friends! #yycflood #earlstinpalace #repost http://t.co/8MPeImDlq2,unknown,4,6,6,3,5.0,The tweet clearly expresses concern for friends at Earls Tin Palace and uses phrases like 'Sending our love' and 'Stay safe' indicating personal connection and impact.,6,6,6,6.0,"The tweet explicitly expresses love and concern for friends at a specific location affected by the flood, clearly demonstrating relational ties.",6,6,5,5.666666666666667,"The tweet expresses concern for a specific business ('Earls Tin Palace') within a community ('yycflood'), indicating collective impact and shared concern for its well-being.",2025-12-27T20:29:43.842912
400572855387029504,RT @StefanAlino: why does it seem as if foreign governments are helping typhoon Haiyan victims more than our own?,unknown,4,5,6,4,5.0,"The tweet expresses concern about the disparity in aid, implying a personal feeling of disappointment or frustration with the lack of domestic support. It also suggests the issue has personal relevance due to the speaker's likely connection to the affected individuals or the country.",1,1,1,1.0,The tweet focuses on a critique of government response rather than expressing personal concern for victims or highlighting relational ties.,6,7,4,5.666666666666667,"The tweet expresses concern about the lack of domestic aid compared to foreign aid, highlighting a perceived issue affecting the nation ('our own'). While it mentions shared responsibility indirectly, it primarily focuses on the disparity in aid.",2025-12-27T20:30:00.729084
296103450800967680,Good to be home #homesweethome #qldfloods http://t.co/qJF4wy7C,unknown,4,6,5,6,5.666666666666667,The tweet explicitly states 'Good to be home' implying relief from the floods and a personal connection to the situation. The use of #homesweethome further emphasizes the personal significance of being safe at home.,5,4,6,5.0,"The tweet expresses a sense of relief and gratitude to be home, implying a connection to the home and potentially loved ones who share it. While not explicitly stated, the use of #homesweethome suggests a strong emotional tie to the place.",3,2,1,2.0,"While the tweet expresses a personal sentiment of relief, it doesn't explicitly mention the impact of the floods on the community or emphasize shared responsibility.",2025-12-27T20:30:18.312949
370747331588538368,"We need a lot more dried goods for donation packs! We can do this, Dragons! #unitas #reliefph",unknown,4,3,2,1,2.0,"The tweet focuses on a collective action and call to action rather than personal experience or impact. While there's a sense of shared purpose, it doesn't explicitly highlight individual consequences or feelings.",3,1,2,2.0,"The tweet focuses on collective action and encourages a sense of community ('We can do this, Dragons!'), but doesn't explicitly mention personal connections or consequences for individuals the speaker cares about.",6,7,6,6.333333333333333,"The tweet clearly expresses concern for the community ('We need...'), uses collective language ('We can do this'), and emphasizes shared responsibility ('We need...').",2025-12-27T20:30:35.056643
295683991011463168,It's sad to see the flooding in Queensland. Let's hope the rain stops soon.,unknown,4,3,2,2,2.3333333333333335,The tweet expresses sadness about the situation but doesn't explicitly mention personal impact or experience. It focuses on a general hope for the situation to improve.,3,2,2,2.3333333333333335,The tweet expresses sadness about the situation but doesn't explicitly mention personal connections to the affected area or people.,6,5,4,5.0,The tweet expresses concern for the affected region (Queensland) and uses 'Let's hope' suggesting a collective desire for the rain to stop.,2025-12-27T20:30:49.470549
390746523858141185,RT @PaulTatnell: Some terrific journalism tonight from the Sydney fires. Thoughts with all defending and reporting #bushfires,unknown,4,3,2,1,2.0,The tweet expresses general concern and support but doesn't explicitly mention personal impact or experience with the fires.,4,3,4,3.6666666666666665,"The tweet expresses general concern for those involved in firefighting and reporting, but doesn't explicitly mention family, friends, or personal connections.",5,6,4,5.0,"The tweet expresses concern for those involved in firefighting and reporting, indicating a collective effort. It also mentions 'all' defending, suggesting a broader societal impact. However, the emphasis on solidarity or shared responsibility is less pronounced.",2025-12-27T20:31:04.923884
295821396423098368,RT @NSWRFS: @QPSmedia We've been doing it tough with fires lately but our thoughts are with you all tonight. #bigwet,unknown,4,5,4,3,4.0,The tweet expresses empathy and solidarity but doesn't explicitly state personal hardship. It acknowledges the difficulty of the situation but focuses more on shared experience.,6,5,6,5.666666666666667,"The tweet expresses empathy and solidarity with those affected by the fires, indicating concern and shared experience.",6,6,5,5.666666666666667,"The tweet expresses concern for a community affected by fires and uses inclusive language like 'you all,' indicating a sense of shared experience and solidarity.",2025-12-27T20:31:19.225286
406587038532915200,Helicopter Crash in Glasgow might brighten the place up a bit,unknown,4,1,1,3,1.6666666666666667,"The tweet expresses a sarcastic or darkly humorous take on the tragedy, not personal concern or impact.",1,1,1,1.0,"The tweet expresses a callous and insensitive sentiment, showing no concern for the potential victims or their families.",1,1,1,1.0,"The tweet expresses a callous and insensitive sentiment, lacking any recognition of the tragedy or potential impact on the community.",2025-12-27T20:31:32.294495
390115838935584768,RT @AngNasaBabaNito: Let's just pray for the victims of earthquake. God is always with us! #PrayForVisayas Cebu and Bohol.,unknown,4,3,2,2,2.3333333333333335,The tweet expresses concern for the victims but doesn't explicitly state personal impact or consequences. The inclusion of 'God is always with us' suggests a personal belief system rather than direct personal experience.,3,2,3,2.6666666666666665,"The tweet expresses a general concern for the victims but doesn't explicitly mention personal connections. It emphasizes a shared faith and reliance on God for comfort, which can be seen as a form of relational support.",6,7,6,6.333333333333333,The tweet clearly expresses concern for the victims and uses collective terms like 'us' and 'Let's pray' emphasizing shared responsibility and solidarity.,2025-12-27T20:31:49.083604
348442278790045696,RT @GongshowGear: Thoughts and Prayers with all our friends in Calgary as they weather record floods - stay strong #alberta,unknown,4,3,2,2,2.3333333333333335,The tweet expresses concern but doesn't explicitly state personal impact. It uses 'our friends' which suggests a connection but not necessarily direct personal experience.,6,5,6,5.666666666666667,"The tweet explicitly expresses concern for 'friends' in Calgary, indicating a personal connection and care for those affected by the floods.",6,7,6,6.333333333333333,"The tweet clearly expresses concern for a specific community (Calgary) and uses inclusive language like 'our friends' and 'all,' emphasizing collective impact and solidarity.",2025-12-27T20:32:04.059512
