Tweet ID,Tweet Text,Information Source,Information Type,Informativeness,source_dataset,detected_language
334472155234463744,Ni saben pronunciar el nombre de Dzhokhar Tsarnaev pero ahí andan de lamebotas porque está guapo.,Not applicable,Other Useful Information,Related - but not informative,2013_Boston_bombings,es
325601298768621569,"@BRSurabaya broh,ada menit diam u/ (alm) anne williams dan korban boston marathon?",Not applicable,Not applicable,Related - but not informative,2013_Boston_bombings,ms
323913577922715648,RT @inecascos: que huevos hacer estoy en una maratón #PrayForBoston http://t.co/kbsJTZ1mNw,Outsiders,Not applicable,Related - but not informative,2013_Boston_bombings,es
323932745900363776,"110 lesionados y dos muertos?y los que faltan,¿acaso no tienen corazón o sentimientos?yo creo que no.  #PrayForBoston",Not applicable,Not applicable,Related - but not informative,2013_Boston_bombings,es
324058965115822081,Què triste y horrible lo ocurrido en Boston! Estoy con Todos de esos areas. #PrayForBoston,Outsiders,Not applicable,Related - but not informative,2013_Boston_bombings,es
324414616925003776,RT @juanmata10: Todo mi apoyo para las víctimas y heridos del atentado de la marathon de #Boston Una noticia terrible.,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings,es
324428248421380096,#BostonMarathon Amen! http://t.co/B5cW4oGzIa,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings,ms
324749058138845185,"Mi oración esta noche es para las victimas y familiares de esta explosión cerca de Waco, Texas. #prayfortexas",Outsiders,Not applicable,Related - but not informative,2013_West_Texas_explosion,es
324702774006775809,#waco #explosion http://t.co/4KzHKAsPop,Outsiders,Other Useful Information,Related - but not informative,2013_West_Texas_explosion,es
324736622027501570,"@sebmusset West, Texas. Ce n'etait pas en Waco, je crois.",Outsiders,Not applicable,Related - but not informative,2013_West_Texas_explosion,fr
323885861991243776,Deux explosions lors du marathon de Boston ont blessé de nombreuses personnes. Toutes nos pensées aux victimes. #sadnews,Outsiders,Other Useful Information,Related - but not informative,2013_Boston_bombings,fr
324226208780918784,#PrayforBoston http://t.co/AhMAyXgf2Q,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings,ms
323935170229059584,RT @BornToRaceMovie: #prayforboston http://t.co/ARrac8wzgu,Outsiders,Sympathy and support,Related - but not informative,2013_Boston_bombings,es
324719039484133377,RT @ovo_xo: Crazy.. #Waco #Texas http://t.co/7hkDeCckq7,Outsiders,Other Useful Information,Related - but not informative,2013_West_Texas_explosion,es
324754045166288896,http://t.co/rh2AYD4wz9 @Gera_Cien #WestTX,Not applicable,Not applicable,Related - but not informative,2013_West_Texas_explosion,ms
324721283440971776,RT @reyna6467: @MariaESalinas //WACO Texas explotion!!! http://t.co/V687GKwB6Q,Outsiders,Other Useful Information,Related - but not informative,2013_West_Texas_explosion,es
324738656248147968,RT @kristahakk: #PrayForTexas 💕,Outsiders,Sympathy and support,Related - but not informative,2013_West_Texas_explosion,ms
333981371368353794,The BOSTON MARATHON ZUP is emerging on #Tweetzup http://t.co/9OeAzRhNHt,Outsiders,Other Useful Information,Related - but not informative,2013_Boston_bombings,ms
